review_uuid,review
a992dfc2-6ae9-4c56-8256-aaf7a71a6c92,these are very useless products some of the kits were bad in some packets and there was no liquid in some
cedbfedb-8dbd-4eb2-b7f0-27480cb1ccc0,awesome product
510b580f-2698-4080-bb77-e029c85363a0,everything is good
c674834a-97c6-44a6-af45-6295a1f127cb,very good and very fit and very top quality boy sweaters tnx you flipkart 
2a5b42e4-a8f3-44bf-9ba8-13fe7d7e77d2,very slow cocking
3998152e-1dd2-42b8-8f1e-a516e8ce3168,not working as tds at my tap water is 2300 and final tds are 255 which is not acceptable
686ca6fe-d0a1-4f40-956a-266ec632b165,super
05fc2c0c-96fc-4ed2-ae94-f9e5210a8cc1,bad quality product very bad
d6e7c419-807e-4ab6-84c8-aafb24c79d04,very poor product
b2d7634a-b5e9-4003-b4c9-707541ae07a9,very humid bad purchase poor quality total money waste
fa44fccb-2758-4828-9d8d-902446bce807,very useful product
aba243ce-b49a-4858-89ba-b9726adb7fb2,total waste products
0ae96c4f-bf05-4e73-829b-c24ee30bec59,so comfortabledont feeling any irritation while wearing itcotton fabric and good for sweat absorptionvalue for moneythanks flipkart
d617a29e-36b6-408e-a6c5-65a8f26ed8c0,very good no problems found for a year
50c50334-7a82-4735-8786-428402882497,very bad tube
6528de3f-b5d4-4533-be3c-c2922c55d232,small size
9f4c5576-f94a-4264-9d7c-605d1b560094,worst
278f01cc-1e46-4021-9e2b-c765ef9c574c,very good product thank you flipcart
51e8d3dd-6171-40a9-9064-e11ebf119403,good quality product steady and material is amazing go for it
6b5f4d78-0216-454f-b7cf-25560838a2b4,electric current shocking at freezer compartment
39c63218-64c6-4de7-90a8-94a946140423,automatic changed channel by it
13c5ea7f-d7b3-46c5-abfb-c501c429ee57,ok type comparing price
a22ffc80-db4b-4bdf-987e-8b69ee9b1b80,like it
442452b5-85f8-47e0-9550-48fc75842cce,im fully comfortable with this power bank
be801f3a-fe9b-4186-a2a4-094d35d0bd99,verry good
841b1993-93d6-4651-acf3-cc409be438f9,nice
75e0e9b3-7591-4dae-a162-7a33a04fc970,charger was not working its a frustrating device
4670dbd1-c84a-4f93-842b-0c816b1d9f2e,products is running very slow
5336139e-60a1-4b18-9b24-2265a99265d0,unsatisfied
e7da67b0-c7f3-40e4-9e04-19432f77846e,at timeline deleavery feeling good product 5399
735ad02a-f546-4b01-a345-4fd4924d7fd1,excellent
aabff79b-73cf-4658-907b-d14b8f051599,nice
622c4144-24fc-4952-a1ad-9cb6048c1ad7,it is the worst one
f1021da6-cd1b-4bef-a90a-7ecfbb3e8741,superb
3a7752fd-a758-47b1-ab87-20cad6403394,found good productfor office home usesound quality is perfectdesign is also perfectits handy yet elegantat this rate value found a value for money productvery compititive product than remaining foriegn products at this price band
9ea14602-81a2-474b-b152-a8eedb6640d9,nice
acabd6c5-dddc-48a7-9ce6-a2bb07c2f9aa,dont buy this routerkeeps on disconnecting and pc cannot detect the wifi if it is detected then it says cannot connect after using 4 months this problem is happening
faf70060-4c65-431c-a1fc-ba64f2273283,good product but little bit slow
5c452436-a447-437e-8bb5-fc72e800153c,quality poor
5e3d6c55-fd43-4766-891e-5cf66f4f337b,very bad products
02722561-ac57-4d33-9f54-883e6fa7d54f,very bad
3f32aa32-872f-4d4f-ba48-6d6aa252bcb8,waste of money
38063691-6ed0-4bfd-bfcd-ef88ce11beca,as always lakme never disappoints kajal are amazing
4cba035f-b832-4c89-81f9-e7dd6ab7cfe0,nice go for it 
360c8211-c1bf-4505-98a1-bbc7c38c74d4,not better but good
aaf6aebb-a8ae-4ddd-9d9a-4758ac3cc0c2,product is not durable and if you face any problem with the product no assistance will be provided
830841a4-8223-4043-84a0-89081cd80ad2,good
b4145e4d-2b3b-4267-b215-3a104b447b67,good shoe is no problem comfortable to wear
6accc30b-5f40-43a3-ae9d-c90e54d768b2,very good
08cfba59-684b-4160-8846-505c37cf4ff3,best excellent
0e20a2a4-f9f9-4cc5-88a9-a89444068e89,quality is not good
d4d03d2e-62d5-4f21-8403-45e25689a0d1,beast
a2ca153d-d00a-416d-a591-242b5b415c35,good mobile in price
e613d1da-e2f1-437b-a878-f5949b9ff624,its make too much noise
50c2d9fa-dc58-47be-a717-8b26e132cad2,very good
167177d6-f799-4027-8d2d-1099c8b11a2f,we are senior citizens with 2 members without maid servant cleaning vessels was a problem now problem solved alternate days we use for the first time in our life we see such cleaned vessels good performance
0b66c394-f0ad-4aae-9817-60cd85f69c8a,ok265 lt double of whirlpool not as expecteddefrost water tray is not removable is very disappointed medoor insulated matarial is not good as lg main door was not closing pro perlytechnician repaired it 2nd timemy earlier experience of single door refrigerator was excellent
d088f3df-6067-4b48-aef9-7b5b16e4d862,superb
5713c621-8718-4a07-b43e-a81c866bc118,after doing lot of research i bought this cooler last week air flow is very good cools room easily water lasts for nearly 1 day it smells early but it is bearable and lasts for 2 days only i want a cooler for indoor and it is perfect for it not so bulky as like other coolers you can move it easily even its tank is full so buy it without any hesitation
8016d5e0-240c-4a0e-b81f-3f34085aac73,as shown in the figure
23ed0f6c-ccca-4353-a497-1e3c75b9b3c5,nice
b282c41e-422b-47bc-875a-2d76cac14664,this is amazing product 
89552c46-eb4e-4acb-84ea-5c6b0e775be8,amazing productcrompton desert cooler performance is very good1 coolingoutstanding10102 performance10103 body1010overall very nice thanks flipkart for 2 days delivery
039cc7e5-3070-45f1-b66c-4471a61b1f39,super product
a7df6169-0ff7-4e41-840b-664651f06230,it is damaged from top and it is not working also
aee1891b-9d58-4b83-8f53-f3915c74ce3d,good quality
70f11172-4a3c-4d1b-99c2-274565b3c47a,not good
98a9743a-92a6-4703-b892-d23b4189070f,worst product
60b8afe7-3ca3-4ee3-92b0-4754c2c510cd,good
3b565450-0919-4c34-9b5d-daa0aa1d730e,worst wallet ever
62839f49-5e70-4e90-a89f-9f50f9fc2362,this is just a ossam keyboard u all must buy this beautiful colour
5390df8e-ce3b-4b4a-8a9a-44645180f546,good
f174d245-5ac4-4315-879d-f874d298a178,nice
49ac14fa-6ed5-41b7-823f-5a79ba6992f8,amazing productworth for money
c0e01001-2163-4d33-b9e5-8868d47fefc1,damege
2c4b73e7-b418-4aa9-bb22-e77203228965,best product more then 5star rating
6d6142f0-b5f3-44f8-94d6-84f245d0f6a6,good productgot free diet consultation and it was very good dietician was very supportiveoverall good experience thanks cultsports
ee4424fe-b4fe-487b-868f-9442cd8181e5,good
bb3af2d2-8d6c-4c3b-8bd6-58591ac49389,this is very bad mixie jar is not working and very bad mixing
bf4b3371-1489-459d-b7ca-7ea8b714cf17,wonderful product image quality is very good full hd videos are really amazing
b336120b-2e6b-41cd-8109-27a08378fc5d,very poor quality i request you to dont buy this phone money loose over hitting problemphone hang battery profamanc not good
d6432e6a-67e7-49d1-9032-9b963915b163,superb proudet
725f467a-1987-428d-989a-c0c07ac0e9ed,not good chip colety
38ab782f-42c1-49b3-9280-cb50731a4a5c,nice
fd6487ae-76d0-4e4a-8923-440263306674,not good sound bad product
b08b5de7-49ff-4f77-943b-d0975b2cca89,very bad 
b5cf4dc9-1e37-46cd-9940-e42a55f2b750,is it good products
7e906324-2958-4f50-b134-232b49e12149,so bad
4f729140-3e15-4035-9150-6d9296533739,worst product
7cd9c90d-89d3-4ae3-a707-1f1d63e67d73,qualti is not good
372559ec-2294-4465-b4bc-6c7f8aeff200,good
880b8e17-fdaf-4d6b-9f08-70b9ee2d0d69,not satisfied with product
cfb74439-5135-4471-8751-16e1b26c5b2d,i dont like this product and also this time flipkart service also to much disappointed to me
14573c95-98c7-4cc9-b39d-9e3195018fb9,fridge not working
b3bcc175-f8b3-4394-b79b-4113b4a450e9,nyc 
4fec6a81-de5d-46cf-aba6-61ba51b45372,cooling works good but the defrost water tub is very small it started overflow weekly once if v dont see it coz of that water flowing on floor others are good so far
9cdad380-390b-44c4-a823-a9efeac18358,worthy purchase
4842997e-82af-4a70-9253-d51801ae6ba3,it is being 1 month only and water motor not working very noisy
9646007a-6fc9-4854-8b17-e9838fc916ac,some of the compartments couldnt be closed
a87f2f8d-e372-48c1-9e34-d8d1a5b4e766,water motor stopped working after running fir 10 mins really bad experience
fe3bdab3-02d6-4c67-a266-8e489c83623a,fully satisfied with the quality
09657dce-a99c-4bb4-b8f7-bfd976386cdf,damaged prosecut
4847abc7-1a8b-4e7e-8abc-37a085d4c469,fm is not working
a089a1e5-66de-4c7e-b07b-fb209790284c,very nice
3c17bf64-46b9-4ae2-95c4-9636a81ac732,very bad quality waste of money
dfb7eb9e-e576-4123-abd5-d55b1a78afe8,cheap quality it is not a fast charger
2ec9c459-1812-491e-9c6d-9d4114ec5cda,good product with good backup quality 
94f68fc7-7be1-42b0-bba0-7cb9805ff21b,very bad product
b754ce14-c0d6-49ae-b956-4191fd2245b4,super 
de0f2709-51fb-4fde-b8c6-ac9a7fe946a7,value for money amazing performancego for it
6bd2616e-4fd7-4793-9d3a-9a8733041ecc,worst products weast money
a513eab8-8a6d-409c-8673-852febdd493b,bad product
c3fa205d-ae08-437d-9b00-03c0db4e81a8,battery back up worst play only one hr while fully charged
d2748478-01e4-4502-b92b-c6845aa09b62,nice cycle and smooth performance
898c193d-ecba-4d3f-bd3a-6bec51d2b6ed,its not so useful product its needs too much care and its idli stand is worthless and defective you can not make it properly
116d4447-d096-4088-aa9b-f6b30f9b7e91,good product
d85d7d3a-e34b-4b3a-bd3f-08080569aa4e,cooler in three month water pump not working after complained also not a signal customers replied waste of money
4c513801-8d27-44c4-afd8-65bfc96eefe8,feature rich on paper but not smart enough as a tvpros 1 patchwall experience2 segment leadingconnectivity features3 decent speakerscons1 no netflix2 no prime videos3 inbuilt chromecast doesnt support casting of netflix4 very weak inbuilt wifi receiver5 inbuilt bluetooth transmitter has compatibility issues6 playstore of this tv lacks apps availability7 non ips screen at this price point is a real bummerpls note properly working sideloadable versio
3fdadb0d-8a90-4047-904a-4b5aa1db84e9,worst product dont buy
a470a77e-5f29-4aed-8d3e-ba3464281416,writing this review after 3 days use first of all i will say just go for it its a lovely laptop without any problemeveryone is saying about battery backup that battery backup is not good but thats not true battery backup of this laptop is 56 hours in normal use of continuously display is awesome design is amazing performance is best i think i have cleared all doubts of all of who are seeing reviews free advice dont think too much bro or sis just 
cc36fbb3-56bd-4cce-b240-02463cd8657d,good
74ea5ff0-42c2-47c3-aa58-c8de2d4aa4fc,not that much effective air throw just ok too much wide takes lot of space a stand fan gives more air throw than this dont recommend to buy
ff97b35c-5632-4bb9-8175-50d540c8b16f,good
29c95661-f554-4137-8dd1-dac162690134,this is an incredible product by boat very good sound quality battery backup is fantastic and easily lasts about 10 hours for me
0b9a2b9e-1a52-4743-bc4e-7436dcad218f,the football is sooper but after some days it got damaged
b61d9972-b697-475e-9321-371e61866593,not good
4402270c-5838-424f-a0a1-275486295ffe,itsgood
fd26a572-643c-44f7-900d-b4c30431ce87,very hard and heavy 
2b0bee68-47fb-4749-92af-605a9a4264d0,good products
6e4a0d0c-617c-42ef-a89b-b838ec444763,best cooler
b9100d9a-472b-4019-b2c6-08bb04ed3cf0,capacity is very less then expected not satisfied only cooking bowl how it will work with one i have to see
9f258d89-52d7-4ac2-848e-52f4709016eb,very good product
66afe48d-96b5-4aa6-90e7-7d48688a37d5,defective product
c53230f7-0b7e-441f-98e1-caa55d224d5e,i purchase it for my mother nd trust me its amazingsolid and made with stainless steel body nd it has good gripmy mother love that product im giving 45 rating
3e528501-01f3-41ff-8d05-5aee3172092a,this fan saves electric bill and also runs on small inverter
043f0487-fc8b-4784-81c9-f67d7dd63f39,not good
f0f65f58-7601-4d23-b74a-715a4e6940c2,chummeshwari product
b6cd59cf-0ef1-4818-a9a8-323523461506,good products
a6a1142b-405b-49c7-8b9d-61c961df90fc,super
47953d73-e3d5-46fd-a3e3-0c24afb713de,quality is not up to mark sealing pipe is very small evey not able to correct fix it within 1 month bearing noise is coming still dust showing on all 3 wings as there is mentioned its dust free 
a80bd01c-c338-4bdb-a64b-88e46d0675e3,not so good
953587b1-a83f-4aaf-afc1-217d8dd8fc91,good product
46d9f356-103c-4a6e-95df-2e4b20dd8cb1,nice
807c2270-0900-42d6-a014-0a60dbf77b69,over all good product
c00a2900-bd26-4af3-9163-4f4b4fb28ed2,network capacity very badrang not coververy bad products
80db674b-6c7a-41a3-8dd8-8d82ac5d0b2e,good product importance of money best for children
9a8432c8-def2-406c-b711-afb8bf278750,bad quality
6fe91b69-f1ea-4119-97a5-9dcb55aeb997,nice and good product
0521655c-ccf4-48a4-95c2-2e02e2e9a002,cast not working dont purchase this productok for normal picture
e29dc2fe-bdbc-4067-a19d-e5ea259d3c61,not properly cooling ice system
bae0d6ef-16d4-4d85-a590-b3c9dec7ad68,waste product
4aa4fb96-a670-463c-97da-f25e6fbd0ffe,awesome laptop great performance really good for editing and gaming
13b7fb02-7211-4e89-9507-71439b1e91a5,awesome
4cb6bdfb-88cd-4379-b6bf-47c95e8b8e9a,product too small compared to online dont buy and dont waste money
ab75a0cc-3ce9-4ac9-96d0-c54b264023d1,nice cooling very nice product but 2 said its very hitting
d24003dc-1b4d-4397-92ce-27f3219a39b8,useless product i got it free with pixel 4a if you do not have free wifi in your house this product is useless it does not have bluetooth so you cannot use it as a bluetooth speaker the speaker quality is good thoughit would have been better if they had given me a quality bluetooth speaker instead of this crap as offer
ac33ae63-32a1-4002-9b0c-93a7bcb63f5e,poor quality
2c4ef404-45bd-4c54-8f24-3dbcf9d7eddf,waste product dont buy it
29ef1a82-87b8-4c50-96f1-8e2766c1872b,using after 10 days the rubber will tear
9766c0a8-9010-4284-9952-4b9f2d90a060,really good product
1f486700-ab83-4ae0-9a84-d6d84a810369,nice one
71f6e842-976d-4f2f-9c58-11a68bf81a0f,not to the acceptances
3c06da49-3703-459b-9c1b-31ac9ac00adb,it does not work for boiled rice and it does not have a delayed cook time feature
5a03a06c-4b55-4c6c-bc8a-af4ceeee1fb6,used for one month after loose automatically
b496b8c3-8d8d-418d-99a2-3d8a4f91dad4,value for money product
1bbe2a8a-af3f-45d6-94ab-0f88f46a6fe7,its a worst experiencenot bye thisits a new product but not working
195b003a-5015-4969-b8b5-9b97f735ba9e,very gud quality
69d7af27-6b73-4176-ba57-162ba942ef42,excellent dishwasher cleans up the dishes well 30 mins function for lightly soiled dishes and 15hrs for top notch clean and dry simple and bold design international quality
bdeed16e-4e6d-443d-8b79-52e3da32a277,nice d
82feb3d1-a7d2-43c8-a80c-bd057b58c6d7,very good watch
bd7adf11-e5e9-48f6-aca7-415ad1b56a4d,really good and useful product
7c3191f8-a5cd-4d9e-b3dc-e13873d25f3e,not good qulity
64018f68-721d-4f88-8d0d-2fecdc1266be,nice headsets with cool design and super basswould surely recommend to go for it if you love nice deep bassalso while gaming the sound it produces is very goodjust one issue bit heavy and it might take 12 days to get used to it bcoz they are slightly heavyoverall very good product 
a11bb1fa-e6e5-4c32-a481-58c2b823839e,sounds good but it automatically off come a big sound and automatically off not refund available
aac59f78-30fe-446e-98a8-3a1cba60318b,really nice product its perfect for beginners its highly recommended from my side i bought it for rs325 
b687a785-8333-4ba5-9409-dae2f7515afd,nice product 
07e71408-2f13-4727-8d71-9ec3107e61ac,low quality
35ee03fb-10e9-432e-bdb5-7a655ea414fb,quality of the is not that good and space in per box is less
bf3d2a52-282a-4465-a0dc-ca849de98466,chinese product quality not recommended to anyone buy asus or hp
ebb00065-0ddf-4122-979b-a9a515986c7e,nice
2f732dbc-5308-4bd6-b24d-1e4ac5406123,beautiful
25ca8c87-31c4-4328-bbf0-55abfd01c500,working is good but currant ata hi data cable me
5669f82c-80b4-4297-ba62-d02afeb02dbd,very bad not good back pain support till back pain
e7f413c5-f6f3-44cd-9e38-42af7745cd11,very nice 
c2a3be7f-b673-4274-9ccf-99ed403f2d22,nice
f195fbfe-f7a5-431a-b7a8-9954ce8d263f,good product 
481296ab-3bba-4323-99de-0f14cd1c0077,one of the best tv
cfc3eb6f-0fb5-42bd-b39b-88ccb3e9f99d,good
fe12f083-e34d-4101-8613-087b99fe8dba,bad quality product printed very few pages
ec4218d8-1f43-49c0-8724-a62ad9689079,better
8f318d3d-bf62-4792-9a6d-877e447213ed,very beautiful product 
7656df75-d73e-4fea-8c28-683d866514e3,very good product
296a047d-ea28-40a4-b9c4-0c457ebc6946,good luck
625ca2f6-ec81-4234-b474-a0603eaeb09f,not working
3abc8cab-65f6-43c5-b4ba-32f8239aa0b0,nice 
b07e6372-d6e1-45c3-9b2a-6cb2ec2f8ecc,gud
cd9e32be-9dd1-4463-880f-1fe6cc9a43ae,awesome kit very useful
0e0ea342-fd93-41d7-a81d-6033f4d3264a,getting burned at the bottom
e81eead1-44cd-4bd4-85d1-239380ef2389,amazing cam i lub it 
2f80e002-0a11-481b-9044-9ad2718fe30b,awesome
e13e5194-4409-454f-ba91-af47beaa27fe,build quality is awesome good product in this price range go for it 
9f7686e4-6fc4-4d44-9f4d-073440177d01,bad quality
549dce4c-a7b5-4eb2-9a09-f45a80ad4a51,poor quality
7054042a-d685-484a-9fb7-71f7702b7e90,super stylish and soundless mixer loved it 5 from my side
508fa3e6-d56f-4d4e-9e1e-7d2a9d29c28e,sooper
3abc729f-e68e-41f7-b32d-77e76e277508,super
2461080e-e795-470c-a25f-327c83346379,good product for 9k
e49ba409-95d2-4519-9c5f-a75ca7c41ad9,i bought it a higher price and not worth full for that price
05493f23-615c-4090-b23d-f2c912419bf5,bad
9143284f-e92e-4036-8c3f-d9a3b3edf49c,best
f0a18773-050a-4bbc-8f8c-9286f65c7e69,nyc product fast charge
8bc025c7-818e-4382-80e9-2fd9102de0eb,it is ok and no more than it not energy efficient
24aab8e2-7102-4422-b5cf-88653b31ef99,this product is very good
0355575b-1e5a-41ca-8ce2-2b4a5d6bf652,worse
3479c69e-0107-4479-b1c1-8a018d06cae4,kit showed positive rtpcr negative unreliable product
347c663c-637b-4582-9b5f-d0ddefaa50e2,not satisfied
bc3b9969-9e15-4444-847e-6f71e8ec7574,this the best gaming laptop in budgetlove it do buy it
0d402410-e074-485e-a15b-166b56bf7c4e,nice 
0d14de7f-2e9d-4b25-bc09-5ff2ca6c551d,wonderful
c78615fb-9864-46b3-91e9-ff3b4e75e261,you can absolutely trust flipkart in this wonderful quality
d43f87e6-9038-4e55-9bc3-e6b1d909b542,look wise no damage nothing delivery was very good performance also good as of now but there is strange sound is coming from fridge after some certain time near compressor dont know what it leads to over all gd product
b5fdd99a-fe55-4343-9581-9d07c8e54301,good
a39d40da-11eb-4357-b094-3816ba1e151a,i am writing this review after 3 month of usage if u r reading this review than i would request to think on below points1battery back up of this product is very poor3 hr with battery saver mode on and takes longer time to charge2 sound system is very very very poor operator cannot even listen at maximum sound3 built quality of this product is not upto the mark made up of plastic body u need to handle it very carefully
89cdb117-4486-4a26-a8af-d676aef4dd42,very very nice
a305c578-ff7b-4ec7-8fd3-f7befd2a6788,bad
388f8793-6aaa-489e-9738-ebda509b1ebc,poor quality product ozarro safety shoes to deliver by flipkart
30d682c6-7ac9-4c66-88c1-7861107313b1,very bad quality and size
ecff4b7e-8ec2-424e-8d1f-4d8578e69d06,battery backup is very bad
3e8fec5e-cf4f-4aeb-a841-381c48662c69,nice product and nice fitting i feel better
53e0af06-6625-4a79-8655-caa4f0d1f9a0,very bad product
3e7e08bd-0bac-4534-b475-3b2686031be9,good
2babdfbc-d43b-4879-840c-0f7e29eaceaa,very poor quality very bad
553471ad-a93c-4d74-8109-ccfd66ab21b1,product is very good but delivery is very bad
cf566be9-4986-4e04-a401-44ecfa808add,nice
10723fe1-a1af-41a1-b0ff-f405728c0d47,i am not so happy for this product
fef3c12f-8fb3-4443-af9c-e45ee5190456,very very bad
cfe2766a-8d4e-4414-a9f1-0d25d0beab1e,value for money
33046643-5782-44e0-9710-5cdfceb7044f,best product at cheap price
ae29cb94-133a-4f6e-af79-eeec782d3a3d,sound quality bad
321e40b4-da9a-4cf0-8df9-e63c27c1e739,nice product
ab0383e1-f7c3-4504-a52d-e89f5ea2aac1,too bad
69a522b3-8883-4e4c-8990-d47026b8c77d,good
3cf41455-614f-47c6-9d5a-416457ddb2cf,bad quality
4528ab43-a008-4d80-8ba5-f3114ac204b3,super 
5640f118-6a46-4866-8b84-ded2b21c762d,good
7e5879e3-ade2-47f7-90a2-f4c4082034d7,its very good tv at this price no second tought go for it guys its worthy product nice sound and picture quality also and very smart also
7bd764bf-d049-4965-af36-ac059db92a99,good but air is not stable
28d37ebb-c40f-43e3-b0a8-bea6dd70f84d,very good
d40e10a7-2372-4b3a-90ee-95e679785714,bad smell
25adbe85-9286-4f1f-b033-84278a65eed7,never ever try to purchase
f7e90b3d-9184-4abf-beb2-388d9d4a06dc,noise from fan mechanical rubbing noise electrician says product is defective after removal and examination there is a play between base unit with coils and another component which is not a full circle
46951185-8ecb-49b1-998c-7efc19c9314b,what is wrong with the air coolers on flipkart this is my 3rd cooler delivered by flipkart all are having same swing issue swing function stops working after 1520 mins
9c78b14d-1a50-4418-830e-255e319e234c,good
15318482-485e-450a-8b91-0f6459a673ae,excellent quality supercool watch i really like it
b48361f5-b11a-4495-8d57-c3f34fc7fd81,took me almost 2 hours to cook chambav rice available in kerala its suitable only for thin white rice i guess
34f72f15-922f-4852-a5e4-968a705e1816,good quality
22e566ca-5dea-4dd3-8413-d45801c9ed79,nice product
8f087010-0eec-4510-945f-26af33ce5c7b,nothing about this like a perfume the fragrance staying power nothing good and the smell is damn strong can give u a headache
369e8e34-4ab7-48e1-8409-74fa182ce047,value for money
d1dc27db-aef7-4c01-85c5-8e03376dc63a,it is very bad
384cf2e9-ea32-41b2-b656-fd7969ad63d1,3rd quality meterial
c79a3db7-e7cd-4f03-8191-b7c3adc3d3f4,awesome
2b1b144b-fda2-42e7-a61e-6934b6b34697,just came here to mention that after use of around 6 months it burnt up and stopped working thats it okay bye
9ece9bce-f39c-45ed-9f80-e6dc7e1bc21c,good
6a9dc058-0da0-47d3-83aa-2beb44fa66d6,nice good
e04a7b24-a325-4024-aba2-46be9041122b,finishing is incomplete
62b252e8-ea3f-4b71-b320-f9e3d9f3c5d4,thanks flipkart i am very jolly for product thank you thank you so much 
4d24858c-b26e-4291-a7b1-615cbb5372bc,good product
1dac7c02-863e-4be6-b483-ed99bf6accae,great laptop for someone who is a first time apple user connectivity is nice and security is awesome the ability to multitask is the speciality of this laptop it doesnt matter if this the base variant i had no problem running photoshop adobe xd figma premier rush and flutter as well this laptop can survive all the heavy open at the same time so good at handling at these tasks and when ever i use this for browsing only the battery life would be beyond compare i would go on for 4 
7fd74670-0374-4634-9141-65bc8782190f,sound quality bass and battery life is amazing but it doesnt sound like 16w my 10w speaker is louder than this but otherwise its really goodonly when i connect it with my laptop through aux cable its really loud
e1c2c6bc-a5ae-4b4b-b542-1ed2cf849327,super
ceead21d-9492-4bb6-a0fa-c7d8d1f6a295,to much heating problem from both sides
3e4c885e-a567-4fd0-bfdd-7929f974f5a0,material quality is not good
734e9b39-ffb8-461a-9a63-0801615fccdb,nice
2f9c7f85-95e4-461e-8b0a-4622b1eb4e0c,the quality of the product is really amazing if youre thinking to purchase shorts then feel free to buy these without any hesitation
bea25871-4351-4b86-a775-fe45d9bb41dc,damage product received
4fb7417b-f3e4-4846-90a8-ae72b030648c,bad quality
